epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7183,1.01069,3.00568,1.50299,0.50553,0.19711,0.16224,0.10483,1.48121,2.51811,1.73528,0.000299633,0.000299633,0.000299633
2,44.462,0.87891,1.80782,1.38603,0.37777,0.18959,0.08654,0.03994,1.78108,3.65935,2.02705,0.000600645,0.000600645,0.000600645
3,65.4338,0.92575,1.79135,1.43371,0.5526,0.18802,0.13725,0.10136,1.67422,2.99059,1.99063,0.000899656,0.000899656,0.000899656
4,86.3609,0.9651,1.77432,1.46119,0.6779,0.22437,0.21722,0.14646,1.54845,2.67034,1.99643,0.000900001,0.000900001,0.000900001
5,107.327,0.91693,1.70118,1.42605,0.52657,0.20908,0.16597,0.11524,1.67162,2.5822,1.92462,0.000897001,0.000897001,0.000897001
6,128.206,0.84824,1.57749,1.36059,0.57393,0.23864,0.22563,0.13196,1.55267,2.47611,1.79762,0.000894001,0.000894001,0.000894001
7,149.022,0.87508,1.63049,1.40904,0.63557,0.25655,0.24412,0.17303,1.33737,2.17725,1.74575,0.000891002,0.000891002,0.000891002
8,169.976,0.83053,1.53017,1.37031,0.74211,0.28613,0.29239,0.19202,1.36041,2.15589,1.66999,0.000888002,0.000888002,0.000888002
9,190.893,0.80833,1.50803,1.35114,0.5302,0.24683,0.21179,0.15072,1.44668,2.5799,1.7523,0.000885002,0.000885002,0.000885002
10,211.776,0.80112,1.44896,1.33637,0.72674,0.26033,0.25404,0.15753,1.453,2.48253,1.75656,0.000882003,0.000882003,0.000882003
11,232.639,0.78345,1.39697,1.33071,0.552,0.28744,0.24936,0.15373,1.49513,2.24086,1.68371,0.000879003,0.000879003,0.000879003
12,253.524,0.77816,1.38334,1.3211,0.65959,0.31327,0.32508,0.21623,1.3073,1.98049,1.60588,0.000876003,0.000876003,0.000876003
13,274.49,0.75539,1.36343,1.30875,0.57156,0.30247,0.26407,0.16614,1.39906,2.20328,1.63313,0.000873004,0.000873004,0.000873004
14,295.403,0.7595,1.34317,1.31059,0.65833,0.31986,0.33124,0.23203,1.29455,2.00268,1.5943,0.000870004,0.000870004,0.000870004
15,316.42,0.75359,1.34874,1.31032,0.67593,0.28865,0.30213,0.18788,1.46225,2.35361,1.78666,0.000867004,0.000867004,0.000867004
16,337.333,0.7273,1.29567,1.29337,0.75062,0.29725,0.30843,0.22649,1.30602,2.12064,1.59475,0.000864004,0.000864004,0.000864004
17,358.239,0.71355,1.25842,1.27812,0.65098,0.28019,0.30194,0.21436,1.26384,1.98663,1.5648,0.000861005,0.000861005,0.000861005
18,379.101,0.71339,1.23422,1.26629,0.6776,0.31653,0.33018,0.20052,1.36751,2.06904,1.63507,0.000858005,0.000858005,0.000858005
19,399.982,0.7623,1.27265,1.31508,0.62313,0.37572,0.36952,0.24458,1.30526,1.89617,1.59287,0.000855005,0.000855005,0.000855005
20,420.917,0.69312,1.21205,1.26328,0.65276,0.30424,0.32164,0.22337,1.25304,1.965,1.5429,0.000852006,0.000852006,0.000852006
21,441.841,0.7005,1.20439,1.25049,0.65989,0.33725,0.36067,0.24091,1.2638,1.88547,1.55768,0.000849006,0.000849006,0.000849006
