epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,462.723,0.68131,1.17063,1.25057,0.60894,0.33248,0.30724,0.22949,1.23581,1.95007,1.48974,0.000846006,0.000846006,0.000846006
23,483.61,0.71656,1.21698,1.26901,0.49721,0.33459,0.34674,0.24249,1.26689,1.89568,1.55871,0.000843007,0.000843007,0.000843007
24,504.519,0.67219,1.13126,1.24858,0.67368,0.31828,0.31893,0.22193,1.30746,2.06779,1.5685,0.000840007,0.000840007,0.000840007
25,525.374,0.74145,1.21324,1.2803,0.64464,0.33683,0.3261,0.21867,1.3872,1.91043,1.62532,0.000837007,0.000837007,0.000837007
26,546.218,0.673,1.14158,1.23263,0.71516,0.32311,0.32037,0.22105,1.28621,2.07804,1.58988,0.000834007,0.000834007,0.000834007
27,567.175,0.6859,1.13595,1.24911,0.65644,0.29744,0.28897,0.20089,1.35566,2.07221,1.59044,0.000831008,0.000831008,0.000831008
28,588.023,0.67896,1.16572,1.24941,0.64621,0.37678,0.35571,0.24932,1.257,1.93566,1.51634,0.000828008,0.000828008,0.000828008
29,608.964,0.68206,1.12584,1.24419,0.7517,0.32003,0.36701,0.26614,1.2445,1.98282,1.52432,0.000825008,0.000825008,0.000825008
30,629.867,0.66259,1.09718,1.23567,0.68506,0.29896,0.32346,0.22804,1.21395,1.82463,1.48581,0.000822009,0.000822009,0.000822009
31,650.719,0.65548,1.10132,1.22584,0.65895,0.34233,0.3168,0.20676,1.24881,1.87617,1.5268,0.000819009,0.000819009,0.000819009
32,671.566,0.68557,1.07982,1.2412,0.65423,0.35322,0.3538,0.25356,1.24526,2.01603,1.49988,0.000816009,0.000816009,0.000816009
33,692.438,0.65662,1.09241,1.22933,0.67917,0.32801,0.32855,0.23521,1.26031,1.95967,1.56963,0.00081301,0.00081301,0.00081301
34,713.356,0.67978,1.08325,1.24172,0.77838,0.33758,0.37134,0.26262,1.25911,1.85991,1.48733,0.00081001,0.00081001,0.00081001
35,734.202,0.66625,1.07937,1.22783,0.72583,0.2859,0.31175,0.23462,1.26793,2.10734,1.54712,0.00080701,0.00080701,0.00080701
36,755.045,0.64024,1.06174,1.22479,0.64281,0.34102,0.33235,0.24463,1.23601,1.78205,1.52767,0.00080401,0.00080401,0.00080401
37,775.918,0.65256,1.06951,1.22067,0.71126,0.35092,0.38011,0.26984,1.17894,1.73045,1.4403,0.000801011,0.000801011,0.000801011
38,796.864,0.6536,1.03737,1.22108,0.70715,0.33867,0.37147,0.24477,1.21097,1.90015,1.45349,0.000798011,0.000798011,0.000798011
39,817.716,0.64477,1.0084,1.22161,0.69313,0.32981,0.33973,0.23124,1.28086,2.03681,1.54513,0.000795011,0.000795011,0.000795011
40,838.56,0.63993,1.03599,1.21035,0.76421,0.34986,0.35449,0.23854,1.20895,1.84095,1.45483,0.000792012,0.000792012,0.000792012
41,859.417,0.6408,1.01994,1.2137,0.67544,0.34739,0.32885,0.23687,1.21176,1.85423,1.49502,0.000789012,0.000789012,0.000789012
42,880.29,0.66538,1.00285,1.21794,0.49813,0.39481,0.34686,0.24086,1.29062,1.92113,1.52213,0.000786012,0.000786012,0.000786012
43,901.178,0.61838,0.99041,1.19771,0.58061,0.36869,0.40365,0.28558,1.27866,1.87717,1.51632,0.000783013,0.000783013,0.000783013
44,922.153,0.64624,1.02649,1.21264,0.38214,0.45871,0.3965,0.26964,1.22824,1.85615,1.55039,0.000780013,0.000780013,0.000780013
45,943.04,0.61756,0.98465,1.20334,0.54376,0.40386,0.38501,0.27097,1.22252,1.76947,1.48751,0.000777013,0.000777013,0.000777013
46,963.936,0.64156,0.96929,1.20915,0.55785,0.42788,0.40105,0.2868,1.23147,1.7404,1.48506,0.000774013,0.000774013,0.000774013
47,984.906,0.62328,0.97127,1.20567,0.73226,0.35221,0.39054,0.27145,1.1804,1.76629,1.4646,0.000771014,0.000771014,0.000771014
48,1005.8,0.63619,1.00962,1.21209,0.67706,0.38376,0.4089,0.28607,1.1799,1.79403,1.45727,0.000768014,0.000768014,0.000768014
