epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3165.71,0.17477,0.44504,0.9737,0.76444,0.73181,0.71384,0.64481,0.3866,0.48563,0.5043,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3264.11,0.17726,0.44647,0.97818,0.74859,0.72227,0.71467,0.63589,0.39296,0.47378,0.50177,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3362.55,0.1741,0.44157,0.97368,0.80285,0.74826,0.73689,0.65677,0.37429,0.44355,0.49371,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3461.02,0.17321,0.42868,0.97725,0.76689,0.72355,0.73129,0.64798,0.42679,0.53909,0.53294,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3559.56,0.16765,0.43162,0.97085,0.72971,0.75453,0.71869,0.65062,0.39008,0.49687,0.50162,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3658.13,0.16436,0.41157,0.96746,0.75071,0.74283,0.72207,0.64455,0.40152,0.51976,0.50455,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3756.73,0.16932,0.42278,0.97435,0.75681,0.74423,0.73311,0.65908,0.36654,0.45979,0.47145,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3855.25,0.16423,0.40687,0.96972,0.77898,0.73269,0.74602,0.66535,0.34664,0.51188,0.45185,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3953.82,0.16538,0.40876,0.97089,0.83042,0.73046,0.75511,0.66553,0.38876,0.46034,0.50613,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4052.3,0.1622,0.40228,0.96517,0.7725,0.73597,0.73337,0.65905,0.31977,0.43696,0.42238,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4150.68,0.16263,0.40727,0.97019,0.77994,0.75372,0.73578,0.66076,0.32522,0.44805,0.42217,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4249.07,0.15993,0.39602,0.96818,0.78066,0.7774,0.76377,0.68011,0.34194,0.44199,0.45986,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4347.48,0.15846,0.37607,0.96321,0.80068,0.75258,0.75973,0.66989,0.33094,0.49894,0.43553,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4445.97,0.16683,0.40086,0.9698,0.77687,0.75276,0.74154,0.66518,0.31545,0.4825,0.40923,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4544.38,0.1535,0.37754,0.96256,0.76979,0.75889,0.74697,0.66493,0.33806,0.44311,0.43565,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4642.77,0.1506,0.3734,0.96051,0.82153,0.77675,0.76989,0.68383,0.31586,0.40283,0.41103,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4741.28,0.15374,0.376,0.96308,0.78802,0.75638,0.74971,0.67086,0.31806,0.45237,0.41131,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4839.61,0.14753,0.35869,0.95601,0.80333,0.76886,0.75547,0.67225,0.31901,0.41899,0.4166,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4937.97,0.14625,0.35413,0.95784,0.82637,0.76244,0.77413,0.68267,0.34043,0.43539,0.44309,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5036.28,0.14734,0.35703,0.95617,0.79969,0.77873,0.77402,0.68321,0.3162,0.40243,0.41233,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5134.58,inf,0.35314,0.95806,0.79617,0.7565,0.75924,0.67384,0.37523,0.46375,0.49276,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5232.93,0.14739,0.35293,0.95838,0.75074,0.76534,0.73285,0.66171,0.32406,0.46296,0.41885,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5331.21,0.14195,0.34503,0.95182,0.84645,0.76537,0.78383,0.6947,0.34111,0.43182,0.43221,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5429.51,0.14325,0.35048,0.95587,0.83086,0.76887,0.77491,0.6781,0.37192,0.45237,0.48289,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5527.9,0.1461,0.34613,0.95276,0.81175,0.76768,0.77136,0.68457,0.36328,0.46477,0.46406,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5626.32,0.1411,0.33684,0.95391,0.80242,0.78346,0.7777,0.69117,0.36336,0.45492,0.47067,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5724.68,0.14184,0.33221,0.95309,0.81949,0.77692,0.78021,0.69186,0.35166,0.41533,0.45409,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5822.99,0.1383,0.32586,0.95448,0.8149,0.76749,0.77336,0.69429,0.30703,0.42659,0.39704,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5921.29,0.13616,0.32535,0.94652,0.84415,0.78458,0.79877,0.70227,0.31648,0.42768,0.41157,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6019.65,0.13803,0.32806,0.9493,0.84834,0.78121,0.79415,0.70353,0.32861,0.41968,0.41725,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6117.93,0.13367,0.31927,0.94733,0.87098,0.78454,0.80346,0.70816,0.31928,0.40947,0.40244,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6216.29,0.13432,0.3211,0.9473,0.85049,0.79434,0.80908,0.70695,0.33332,0.41566,0.4274,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6314.6,0.13368,0.31494,0.94637,0.83744,0.79051,0.79153,0.69836,0.33927,0.41794,0.44096,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6413.09,0.13148,0.3092,0.94522,0.86334,0.76269,0.78287,0.69724,0.31596,0.43417,0.40659,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6511.51,0.12974,0.30492,0.94649,0.84793,0.76853,0.78594,0.7001,0.32291,0.43136,0.41864,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6609.76,0.13143,0.30832,0.94768,0.88112,0.778,0.79939,0.70746,0.31363,0.42345,0.40269,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6708,0.1274,0.30017,0.9468,0.84503,0.77642,0.78444,0.69438,0.30748,0.39813,0.39633,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6806.38,0.1282,0.29928,0.94737,0.81586,0.76746,0.77851,0.6926,0.3125,0.40124,0.40619,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6904.89,0.12674,0.30066,0.94323,0.82808,0.80052,0.7899,0.6943,0.34159,0.44193,0.44037,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7003.35,0.12768,0.29654,0.94506,0.83166,0.78898,0.79239,0.6982,0.35753,0.44636,0.47009,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7101.76,inf,0.30037,0.94478,0.8324,0.78402,0.79404,0.69992,0.35977,0.42885,0.47104,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7200.24,0.12815,0.28802,0.94794,0.83707,0.76534,0.77503,0.68946,0.36737,0.46637,0.48232,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7298.54,inf,0.2824,0.93916,0.8148,0.79661,0.78563,0.69681,0.35324,0.44352,0.45729,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7396.99,0.12286,0.27995,0.94181,0.80363,0.79621,0.7839,0.69678,0.35277,0.41591,0.44896,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7495.36,0.12063,0.28473,0.94115,0.81953,0.80522,0.7963,0.7034,0.34546,0.41297,0.43885,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7593.78,0.12014,0.27604,0.93958,0.84474,0.79047,0.79234,0.70207,0.34906,0.43128,0.44735,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7692.23,0.11885,0.27723,0.9394,0.82635,0.79836,0.78772,0.70036,0.33402,0.42911,0.43309,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7790.66,inf,0.26379,0.93773,0.82848,0.80492,0.78966,0.70027,0.34928,0.44597,0.45195,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7889.04,0.11541,0.27084,0.93807,0.83771,0.78766,0.79036,0.70203,0.35688,0.44392,0.45999,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7987.36,0.11573,0.26721,0.93573,0.84318,0.78207,0.7952,0.70254,0.35931,0.42538,0.45858,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,8085.81,0.11863,0.27728,0.94017,0.85257,0.79666,0.80045,0.70495,0.35441,0.42629,0.45129,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
