epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.59673,0.46568,2.0985,1.16395,0.84892,0.07714,0.1027,0.07284,0.86892,2.53,1.15879,0.000407197,0.000407197,0.000407197
2,11.8899,0.32131,1.23746,1.04828,0.84649,0.11429,0.09962,0.05549,1.51968,2.45149,1.83789,0.000815707,0.000815707,0.000815707
3,17.1204,0.3276,1.12574,1.04573,0.93018,0.15571,0.18176,0.1472,1.09046,2.20861,1.33586,0.00121597,0.00121597,0.00121597
4,22.3121,0.31959,1.01917,1.05237,0.94507,0.22571,0.27494,0.21983,0.70487,1.227,1.12866,0.00121287,0.00121287,0.00121287
5,27.5593,0.32301,0.95344,1.05085,0.85807,0.14714,0.13045,0.08547,0.70536,2.37189,1.06971,0.0012005,0.0012005,0.0012005
6,32.7621,0.30227,0.87722,1.04655,0.94693,0.22796,0.23643,0.19784,0.60734,1.11361,0.92396,0.00118812,0.00118812,0.00118812
7,37.9756,0.29024,0.83085,1.02277,0.46036,0.54249,0.26573,0.17184,0.83727,2.82329,1.05475,0.00117575,0.00117575,0.00117575
8,43.1536,0.30062,0.85501,1.03797,0.38,0.21268,0.14505,0.11275,0.75231,1.82061,1.00733,0.00116337,0.00116337,0.00116337
9,48.3687,0.28892,0.81602,1.02548,0.68865,0.37661,0.36065,0.30287,0.40814,1.03366,0.74062,0.001151,0.001151,0.001151
10,53.5831,0.27574,0.78417,1.0269,0.75726,0.27696,0.26772,0.24734,0.48667,0.7553,0.85777,0.00113863,0.00113863,0.00113863
11,58.7859,0.25455,0.73127,1.01434,0.32383,0.36714,0.32457,0.28853,0.4236,0.77722,0.75669,0.00112625,0.00112625,0.00112625
12,63.9986,0.25392,0.70931,1.00396,0.71057,0.27696,0.26988,0.24385,0.40443,0.67764,0.70857,0.00111388,0.00111388,0.00111388
13,69.3052,0.2528,0.71337,1.01724,0.79382,0.2819,0.32506,0.20371,0.90449,1.28025,1.16415,0.0011015,0.0011015,0.0011015
14,74.5318,0.24354,0.67378,0.99279,0.50124,0.34964,0.27423,0.23317,0.55786,0.80021,0.91743,0.00108913,0.00108913,0.00108913
15,79.7458,0.22809,0.66575,0.9957,0.28669,0.40821,0.33584,0.29144,0.57454,0.80365,0.88315,0.00107675,0.00107675,0.00107675
16,84.9463,0.22253,0.65497,0.98636,0.53683,0.30821,0.30485,0.26199,0.42412,0.68175,0.75993,0.00106437,0.00106437,0.00106437
17,90.1503,0.22188,0.62025,0.98201,0.83048,0.20183,0.25971,0.20444,0.97103,1.28506,1.14753,0.001052,0.001052,0.001052
18,95.3644,0.23156,0.65374,0.99594,0.7719,0.27411,0.28372,0.25844,0.52846,0.86066,0.83036,0.00103962,0.00103962,0.00103962
19,100.578,0.21667,0.61123,0.98155,0.81785,0.30679,0.32289,0.28829,0.37706,0.60059,0.65235,0.00102725,0.00102725,0.00102725
20,105.835,0.21749,0.6379,0.97528,0.27127,0.49585,0.32299,0.29335,0.39937,0.67786,0.73376,0.00101488,0.00101488,0.00101488
21,111.058,0.2128,0.63347,0.98048,0.21085,0.31268,0.38337,0.30403,0.47568,0.70558,0.76044,0.0010025,0.0010025,0.0010025
22,116.315,0.21694,0.5903,0.98029,0.55321,0.40821,0.32141,0.27866,0.37135,0.62316,0.70778,0.000990125,0.000990125,0.000990125
23,121.537,0.21494,0.61481,0.98395,0.6695,0.30956,0.34612,0.25832,0.71145,0.81297,0.96588,0.00097775,0.00097775,0.00097775
24,126.761,0.20913,0.58271,0.9816,0.24976,0.40536,0.34349,0.29216,0.46916,0.75278,0.79013,0.000965375,0.000965375,0.000965375
25,132.04,0.19273,0.57559,0.96797,0.50234,0.38107,0.29194,0.27403,0.39063,0.77732,0.67615,0.000953,0.000953,0.000953
26,137.28,0.20081,0.5777,0.98308,0.22591,0.47661,0.32325,0.26808,0.4423,0.82331,0.7517,0.000940625,0.000940625,0.000940625
27,142.501,0.21739,0.58375,0.99127,0.25084,0.412,0.33072,0.28974,0.41796,0.71508,0.74346,0.00092825,0.00092825,0.00092825
28,147.768,0.19837,0.58526,0.98097,0.84748,0.29765,0.33796,0.31284,0.37686,0.70698,0.71414,0.000915875,0.000915875,0.000915875
29,153.052,0.18979,0.53647,0.97486,0.88142,0.27268,0.30883,0.29052,0.38617,0.68115,0.69383,0.0009035,0.0009035,0.0009035
30,158.312,0.19706,0.52966,0.97659,0.2273,0.30964,0.27655,0.25874,0.34513,0.76432,0.67852,0.000891125,0.000891125,0.000891125
31,163.581,0.18632,0.52505,0.97099,0.26834,0.48214,0.33109,0.29841,0.35436,0.7963,0.67137,0.00087875,0.00087875,0.00087875
32,168.848,0.19408,0.55379,0.96991,0.3128,0.59518,0.36512,0.32438,0.39855,0.72424,0.68765,0.000866375,0.000866375,0.000866375
33,174.091,0.19001,0.55047,0.96889,0.39234,0.38758,0.34171,0.3093,0.37654,0.75697,0.68654,0.000854,0.000854,0.000854
34,179.358,0.1793,0.52847,0.95875,0.39773,0.41946,0.37664,0.29321,0.41157,0.76063,0.71051,0.000841625,0.000841625,0.000841625
35,184.602,0.18202,0.51406,0.96512,0.63222,0.32427,0.33077,0.26656,0.55052,0.9348,0.82812,0.00082925,0.00082925,0.00082925
