epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,189.827,0.18789,0.52842,0.9776,0.72644,0.33333,0.39244,0.32665,0.34307,0.69441,0.64734,0.000816875,0.000816875,0.000816875
37,195.201,0.18755,0.52714,0.96271,0.41622,0.45327,0.43904,0.36061,0.3986,0.76011,0.70698,0.0008045,0.0008045,0.0008045
38,200.454,0.17871,0.51595,0.96618,0.76576,0.31268,0.3296,0.29945,0.37135,0.70222,0.66597,0.000792125,0.000792125,0.000792125
39,205.714,0.18297,0.51467,0.9734,0.78901,0.33946,0.33741,0.30186,0.35526,0.68242,0.64482,0.00077975,0.00077975,0.00077975
40,211.022,0.17071,0.52888,0.95697,0.275,0.51089,0.33501,0.30437,0.33829,0.64596,0.64591,0.000767375,0.000767375,0.000767375
41,216.301,0.17032,0.50629,0.95934,0.30275,0.51536,0.35942,0.32592,0.35409,0.66227,0.61431,0.000755,0.000755,0.000755
42,221.561,0.18338,0.50043,0.97271,0.29934,0.49679,0.36727,0.31985,0.42443,0.67678,0.72806,0.000742625,0.000742625,0.000742625
43,226.812,0.17411,0.4793,0.96391,0.64702,0.33228,0.34632,0.31718,0.27939,0.64519,0.56867,0.00073025,0.00073025,0.00073025
44,232.071,0.1719,0.4718,0.9526,0.54407,0.445,0.35034,0.29952,0.31446,0.7326,0.6196,0.000717875,0.000717875,0.000717875
45,237.318,0.16667,0.48561,0.96077,0.59075,0.33964,0.3469,0.29906,0.33255,0.61581,0.63728,0.0007055,0.0007055,0.0007055
46,242.591,0.16416,0.44914,0.95276,0.58183,0.33393,0.35903,0.31884,0.32874,0.64311,0.63084,0.000693125,0.000693125,0.000693125
47,247.861,0.16531,0.47492,0.95437,0.27752,0.42661,0.38232,0.32276,0.36071,0.74945,0.67613,0.00068075,0.00068075,0.00068075
48,253.148,0.16459,0.48025,0.96148,0.33851,0.52964,0.35433,0.30761,0.32762,0.75074,0.65338,0.000668375,0.000668375,0.000668375
49,258.417,0.16862,0.46064,0.96382,0.28928,0.47661,0.34315,0.29599,0.33915,0.70601,0.64737,0.000656,0.000656,0.000656
50,263.701,0.15421,0.47124,0.94804,0.79656,0.3225,0.42879,0.35714,0.37867,0.70329,0.69425,0.000643625,0.000643625,0.000643625
51,269.276,0.16027,0.45508,0.95029,0.32238,0.54243,0.37157,0.31262,0.34755,0.66767,0.63584,0.00063125,0.00063125,0.00063125
52,274.537,0.16895,0.46448,0.9568,0.32746,0.47661,0.41236,0.35644,0.41153,0.73749,0.68591,0.000618875,0.000618875,0.000618875
53,279.773,0.15486,0.46803,0.94468,0.59932,0.30675,0.31023,0.28936,0.33156,0.7044,0.63712,0.0006065,0.0006065,0.0006065
54,285.026,0.1573,0.42593,0.95406,0.33667,0.46089,0.33178,0.29382,0.30972,0.69807,0.59179,0.000594125,0.000594125,0.000594125
55,290.271,0.15321,0.43936,0.94618,0.30814,0.49919,0.35357,0.3079,0.37059,0.72737,0.67043,0.00058175,0.00058175,0.00058175
56,295.504,0.14868,0.4569,0.94121,0.27138,0.43528,0.34265,0.31071,0.35771,0.6925,0.6762,0.000569375,0.000569375,0.000569375
57,300.726,0.14455,0.43164,0.93888,0.66799,0.3425,0.36332,0.33188,0.29716,0.76004,0.58847,0.000557,0.000557,0.000557
58,306.018,0.16083,0.43907,0.95593,0.55737,0.33821,0.30932,0.28634,0.31785,0.72856,0.61588,0.000544625,0.000544625,0.000544625
59,311.305,0.13631,0.42171,0.9402,0.43555,0.50648,0.41253,0.35852,0.29957,0.65722,0.57782,0.00053225,0.00053225,0.00053225
60,316.578,0.15477,0.44407,0.95394,0.31219,0.53949,0.37636,0.33092,0.38572,0.66711,0.67095,0.000519875,0.000519875,0.000519875
61,321.839,0.14116,0.40002,0.93457,0.7981,0.31268,0.34643,0.31275,0.35084,0.72131,0.64726,0.0005075,0.0005075,0.0005075
62,327.085,0.14625,0.44207,0.94475,0.60907,0.3425,0.39694,0.35941,0.31873,0.65595,0.59889,0.000495125,0.000495125,0.000495125
63,332.32,0.15201,0.40275,0.95372,0.30551,0.58816,0.39345,0.34763,0.30925,0.6509,0.59514,0.00048275,0.00048275,0.00048275
64,337.566,0.13856,0.4154,0.95223,0.35972,0.57339,0.38029,0.3249,0.33443,0.75494,0.61721,0.000470375,0.000470375,0.000470375
65,342.936,0.1451,0.42124,0.93687,0.3311,0.42964,0.35381,0.31482,0.3336,0.81116,0.64833,0.000458,0.000458,0.000458
66,348.197,0.14962,0.41796,0.95443,0.4017,0.49121,0.39438,0.33574,0.36566,0.62679,0.67947,0.000445625,0.000445625,0.000445625
67,353.463,0.13693,0.43326,0.93591,0.33318,0.42964,0.39098,0.34958,0.36976,0.69539,0.67278,0.00043325,0.00043325,0.00043325
68,358.724,0.14037,0.41884,0.94787,0.64518,0.35673,0.38704,0.33598,0.42651,0.7313,0.75754,0.000420875,0.000420875,0.000420875
69,363.971,0.13847,0.40189,0.94876,0.82063,0.32917,0.38765,0.33245,0.40483,0.75912,0.71608,0.0004085,0.0004085,0.0004085
70,369.202,0.15126,0.43799,0.94847,0.86366,0.31393,0.39415,0.3515,0.41746,0.75527,0.72308,0.000396125,0.000396125,0.000396125
71,374.464,0.13987,0.41985,0.93274,0.32857,0.5078,0.35835,0.30936,0.39778,0.74467,0.69849,0.00038375,0.00038375,0.00038375
72,379.703,0.14481,0.40127,0.94959,0.34295,0.45643,0.43347,0.36351,0.41237,0.66784,0.71491,0.000371375,0.000371375,0.000371375
73,384.962,0.13422,0.38507,0.9403,0.38199,0.405,0.35528,0.30449,0.33292,0.68333,0.61425,0.000359,0.000359,0.000359
74,390.285,0.1354,0.37948,0.93586,0.45511,0.47595,0.42276,0.3481,0.31377,0.69561,0.60896,0.000346625,0.000346625,0.000346625
75,395.53,0.14338,0.40719,0.9511,0.35347,0.42375,0.4143,0.35961,0.32074,0.72407,0.61358,0.00033425,0.00033425,0.00033425
76,400.772,0.13282,0.3752,0.94152,0.44645,0.49054,0.39292,0.32958,0.30259,0.75325,0.59398,0.000321875,0.000321875,0.000321875
77,406.022,0.13353,0.39896,0.94371,0.31639,0.57482,0.39453,0.35199,0.36843,0.73332,0.67508,0.0003095,0.0003095,0.0003095
78,411.339,0.12387,0.37455,0.94389,0.37005,0.42661,0.41108,0.38222,0.3259,0.68689,0.6177,0.000297125,0.000297125,0.000297125
79,416.602,0.12994,0.37811,0.94347,0.42318,0.48929,0.38491,0.33106,0.36798,0.72012,0.67126,0.00028475,0.00028475,0.00028475
80,421.842,0.12746,0.35648,0.93676,0.34427,0.45861,0.39531,0.34588,0.34799,0.71767,0.63924,0.000272375,0.000272375,0.000272375
81,427.077,0.12958,0.38024,0.9342,0.42598,0.45643,0.41889,0.36174,0.31319,0.68601,0.59848,0.00026,0.00026,0.00026
82,432.307,0.12336,0.37458,0.93793,0.43154,0.46483,0.44266,0.37161,0.33993,0.72609,0.63251,0.000247625,0.000247625,0.000247625
83,437.544,0.12288,0.34959,0.93058,0.42417,0.50941,0.40923,0.35477,0.3707,0.65925,0.65801,0.00023525,0.00023525,0.00023525
84,442.793,0.13383,0.37945,0.94326,0.60636,0.36946,0.3664,0.331,0.34216,0.73129,0.62264,0.000222875,0.000222875,0.000222875
85,448.022,0.12428,0.34532,0.94092,0.41932,0.46375,0.41051,0.36135,0.31233,0.71803,0.5958,0.0002105,0.0002105,0.0002105
86,453.28,0.12009,0.35609,0.93409,0.44448,0.44006,0.42699,0.37617,0.30437,0.64599,0.5982,0.000198125,0.000198125,0.000198125
87,458.519,0.12195,0.35717,0.93168,0.35687,0.46386,0.39221,0.33602,0.2892,0.7153,0.57305,0.00018575,0.00018575,0.00018575
88,463.756,0.11775,0.32965,0.92736,0.37097,0.51376,0.40087,0.36193,0.31786,0.62056,0.60541,0.000173375,0.000173375,0.000173375
89,468.993,0.12058,0.36454,0.92761,0.31854,0.50781,0.36531,0.34172,0.33139,0.72271,0.63079,0.000161,0.000161,0.000161
90,474.242,0.1096,0.3399,0.93305,0.65464,0.33273,0.37068,0.33713,0.30839,0.70893,0.60823,0.000148625,0.000148625,0.000148625
91,480.318,0.15144,0.45814,0.98632,0.8445,0.32964,0.36292,0.32939,0.31786,0.73058,0.63338,0.00013625,0.00013625,0.00013625
92,485.531,0.11842,0.34161,0.95637,0.69011,0.40821,0.40331,0.37262,0.31105,0.61251,0.60866,0.000123875,0.000123875,0.000123875
93,490.658,0.11684,0.31916,0.94872,0.38342,0.59179,0.47169,0.38831,0.3898,0.65316,0.72976,0.0001115,0.0001115,0.0001115
94,495.841,0.12105,0.29952,0.96477,0.41805,0.52196,0.40692,0.36048,0.40126,0.66982,0.7355,9.9125e-05,9.9125e-05,9.9125e-05
95,500.977,0.10759,0.27529,0.95052,0.35325,0.51878,0.40835,0.3601,0.35826,0.68059,0.67837,8.675e-05,8.675e-05,8.675e-05
96,506.134,0.1166,0.26752,0.95585,0.39814,0.48339,0.41187,0.36271,0.32871,0.66922,0.64204,7.4375e-05,7.4375e-05,7.4375e-05
97,511.318,0.11035,0.2788,0.95671,0.43463,0.45357,0.41894,0.37303,0.31681,0.64944,0.62473,6.2e-05,6.2e-05,6.2e-05
98,516.481,0.1049,0.25165,0.9513,0.47922,0.45145,0.41589,0.36532,0.32451,0.65801,0.63023,4.9625e-05,4.9625e-05,4.9625e-05
99,521.62,0.10463,0.26374,0.94341,0.45113,0.45357,0.41079,0.36782,0.31124,0.64944,0.61089,3.725e-05,3.725e-05,3.725e-05
100,526.783,0.10163,0.23682,0.95453,0.41894,0.47584,0.41425,0.36664,0.31054,0.64951,0.61549,2.4875e-05,2.4875e-05,2.4875e-05
